"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"30","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, LAFOND,LIV","4 10 22 3 34",4,1,1,67,2,2,11,0,1,0,0,2,3,"brandeis","CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
"31","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV","4 10 22 5 34",4,0,1,22,0,2,11,0,1,0,0,0,3,"brandeis","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"32","GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV","4 3 22 5 34",4,3,2,43,0,2,13,0,1,0,1,1,3,"brandeis","GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
"33","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE, LAFOND,LIV","4 10 21 5 34",4,0,1,23,0,0,15,1,1,0,1,1,3,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"34","PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE, LAFOND,LIV","20 10 21 5 34",4,3,3,113,4,3,15,1,5,0,4,6,3,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV PROUTY,ANNA"
"35","PROUTY,ANNA, CHINTALA,ANISHA, NAMBISAN,ISHA, HEYER,ALLIE, LAFOND,LIV","20 10 23 5 34",4,1,1,43,2,2,14,0,1,0,0,0,3,"brandeis","CHINTALA,ANISHA HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA PROUTY,ANNA"
"36","GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, HEYER,ALLIE, ARIAS,AVA","4 10 23 5 24",4,8,7,185,4,8,14,1,5,2,5,8,3,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA"
"37","GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, HEYER,ALLIE, LAFOND,LIV","4 10 23 5 34",4,2,2,63,4,2,18,0,2,0,0,1,3,"brandeis","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA"
"38","GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, HEYER,ALLIE, LAFOND,LIV","4 10 3 5 34",4,3,2,64,4,2,16,0,1,0,1,1,4,"brandeis","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER"
"39","GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV","4 10 3 22 34",4,2,3,63,0,0,14,1,2,2,2,5,4,"brandeis","CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
