"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"27","OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE","22 10 33 15 24",4,2,2,37,0,2,-2,0,1,0,1,1,1,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"28","ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE","23 10 33 4 24",4,1,1,42,2,0,0,0,1,0,0,1,1,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"29","ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE","23 10 33 4 22",4,3,4,128,0,7,-2,1,3,0,3,3,2,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"30","ARIAS,AVA, CHINTALA,ANISHA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE","23 10 5 4 22",4,1,1,79,0,0,5,1,1,0,0,2,2,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"31","NAMBISAN,ISHA, CHINTALA,ANISHA, HEYER,ALLIE, GIBBS,SAVANNAH, BANEY,PAYTON","33 10 5 4 15",3,6,5,152,3,4,5,1,5,0,3,6,2,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA"
"32","NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE","33 23 22 4 24",4,2,2,68,0,3,6,1,2,0,1,2,2,"baldwin wallace","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"33","NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","33 23 22 4 10",4,11,12,421,21,7,9,0,9,1,5,12,2,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"34","TIMKO,NICOLE, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 15 22 4 10",3,9,8,259,6,4,-5,0,5,0,4,8,3,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"35","TIMKO,NICOLE, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 23 22 4 10",4,2,2,73,4,2,-7,0,1,0,0,1,3,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"36","NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","33 23 22 4 10",4,4,4,144,6,2,-9,0,4,0,1,4,3,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"37","NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","33 24 22 4 10",4,0,1,18,0,3,-13,1,1,0,0,0,4,"baldwin wallace","CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"38","BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","15 24 22 4 10",3,4,4,171,4,2,-10,0,3,0,3,5,4,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"39","BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","15 33 22 23 10",4,5,4,138,8,0,-12,3,4,0,2,5,4,"baldwin wallace","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE"
"40","BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","15 24 22 4 10",3,2,3,82,0,2,-20,0,2,2,1,3,4,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"41","BANEY,PAYTON, TIMKO,NICOLE, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA","15 24 21 4 10",3,1,0,37,0,0,-18,0,0,0,0,0,4,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH TIMKO,NICOLE"
"42","BANEY,PAYTON, TIMKO,NICOLE, DELMORE,KAYLA, HEYER,ALLIE, CHINTALA,ANISHA","15 24 21 5 10",4,1,2,30,3,2,-18,0,1,0,0,0,4,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE TIMKO,NICOLE"
"43","BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 4 10 22 33",3,7,6,213,2,2,0,0,5,0,6,9,1,"brandeis","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"44","BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","15 23 24 22 33",4,3,3,84,2,2,0,1,2,0,1,3,1,"brandeis","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"45","BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, CHINTALA,ANISHA, DELMORE,KAYLA","15 23 24 10 21",4,4,4,128,2,7,0,1,4,0,1,3,1,"brandeis","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA TIMKO,NICOLE"
"46","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA","4 23 22 10 21",4,2,2,54,0,2,5,0,1,0,1,1,1,"brandeis","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"47","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA","4 23 22 10 33",4,3,3,108,6,5,7,1,3,0,0,2,1,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"48","GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA","4 24 22 15 33",3,1,3,66,2,3,6,1,2,0,1,1,1,"brandeis","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"49","GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA","4 24 22 23 33",4,4,4,107,0,2,7,1,3,0,2,4,2,"brandeis","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"50","PROUTY,ANNA, TIMKO,NICOLE, BANEY,PAYTON, DELMORE,KAYLA, NAMBISAN,ISHA","11 24 15 21 33",3,2,2,65,2,0,9,0,1,0,1,2,2,"brandeis","BANEY,PAYTON DELMORE,KAYLA NAMBISAN,ISHA PROUTY,ANNA TIMKO,NICOLE"
"51","PROUTY,ANNA, CHINTALA,ANISHA, BANEY,PAYTON, DELMORE,KAYLA, PEPER,ANYA","11 10 15 21 14",3,3,2,87,4,4,7,1,3,0,2,2,2,"brandeis","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA PEPER,ANYA PROUTY,ANNA"
"52","PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, PEPER,ANYA","11 10 22 23 14",4,3,4,115,2,8,7,1,4,1,2,4,2,"brandeis","ARIAS,AVA CHINTALA,ANISHA OR,CATHERINE PEPER,ANYA PROUTY,ANNA"
"53","BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA","15 10 22 23 33",4,3,2,114,1,2,13,0,2,0,0,2,2,"brandeis","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE"
"54","BANEY,PAYTON, DELMORE,KAYLA, TIMKO,NICOLE, ARIAS,AVA, NAMBISAN,ISHA","15 21 24 23 33",4,1,2,59,2,2,14,0,2,0,0,1,2,"brandeis","ARIAS,AVA BANEY,PAYTON DELMORE,KAYLA NAMBISAN,ISHA TIMKO,NICOLE"
"55","BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA","15 4 22 10 33",3,5,6,202,2,8,14,4,6,0,3,4,3,"brandeis","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"56","BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA","15 4 22 24 33",3,3,2,75,5,4,20,0,2,0,1,3,3,"brandeis","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"57","BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, DELMORE,KAYLA","15 4 22 24 21",3,4,4,141,2,5,19,1,4,0,3,6,3,"brandeis","BANEY,PAYTON DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"58","ARIAS,AVA, PROUTY,ANNA, OR,CATHERINE, TIMKO,NICOLE, DELMORE,KAYLA","23 11 22 24 21",4,-1,1,19,0,0,22,1,1,0,0,1,3,"brandeis","ARIAS,AVA DELMORE,KAYLA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE"
"59","ARIAS,AVA, PROUTY,ANNA, PEPER,ANYA, TIMKO,NICOLE, DELMORE,KAYLA","23 11 14 24 21",4,4,5,163,0,5,22,0,3,4,3,6,3,"brandeis","ARIAS,AVA DELMORE,KAYLA PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE"
"60","OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON","22 4 10 33 15",3,5,4,146,8,3,27,2,3,0,3,4,4,"brandeis","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"61","OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA, LAFOND,LIV","22 4 24 33 43",3,2,3,116,6,2,22,0,3,0,2,3,4,"brandeis","GIBBS,SAVANNAH LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
